player,team,macth_up,game_date,w_l,min,pts,fgm,fga,fg_p,pm_3,pa_3,p_3,ftm,fta,ft+p,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_min
KAYLA THORNTON,DAL,DAL @ CON,8/18/22,L,20,1,0,2,0,0,1,0,1,1,100,1,2,3,0,0,0,1,3,-10
JOYNER HOLMES,CON,CON vs. DAL,8/18/22,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
JASMINE DICKEY,DAL,DAL @ CON,8/18/22,L,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
ALYSSA THOMAS,CON,CON vs. DAL,8/18/22,W,31,15,7,11,63.6,0,0,0,1,2,50,2,8,10,7,1,1,2,1,13
ELENA DELLE DONNE,WAS,WAS @ SEA,8/18/22,L,32,26,11,17,64.7,0,4,0,4,4,100,2,1,3,5,1,1,1,2,3
GABBY WILLIAMS,SEA,SEA vs. WAS,8/18/22,W,33,12,5,8,62.5,2,2,100,0,0,0,2,5,7,6,3,1,4,2,5
NATASHA CLOUD,WAS,WAS @ SEA,8/18/22,L,37,16,6,10,60,2,2,100,2,2,100,0,6,6,1,1,3,4,3,0
ARIEL ATKINS,WAS,WAS @ SEA,8/18/22,L,33,16,5,15,33.3,4,8,50,2,2,100,0,1,1,4,0,0,1,4,4
JEWELL LOYD,SEA,SEA vs. WAS,8/18/22,W,32,16,4,11,36.4,2,6,33.3,6,6,100,0,2,2,3,0,0,2,0,8
SHAKIRA AUSTIN,WAS,WAS @ SEA,8/18/22,L,25,12,6,10,60,0,0,0,0,2,0,3,4,7,0,1,1,2,2,-13
TINA CHARLES,SEA,SEA vs. WAS,8/18/22,W,26,9,4,9,44.4,1,1,100,0,2,0,3,4,7,1,1,0,3,1,1
MYISHA HINES-ALLEN,WAS,WAS @ SEA,8/18/22,L,20,6,1,8,12.5,0,1,0,4,4,100,1,5,6,3,2,0,2,1,4
SUE BIRD,SEA,SEA vs. WAS,8/18/22,W,32,10,4,9,44.4,2,6,33.3,0,0,0,0,1,1,2,1,0,0,1,6
JONQUEL JONES,CON,CON vs. DAL,8/18/22,W,25,19,5,10,50,2,4,50,7,8,87.5,3,5,8,3,0,1,1,2,17
BREANNA STEWART,SEA,SEA vs. WAS,8/18/22,W,38,23,8,17,47.1,2,3,66.7,5,5,100,2,10,12,4,1,1,3,2,2
RUI MACHIDA,WAS,WAS @ SEA,8/18/22,L,4,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
EPIPHANNY PRINCE,SEA,SEA vs. WAS,8/18/22,W,8,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5
ELIZABETH WILLIAMS,WAS,WAS @ SEA,8/18/22,L,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
BRIANN JANUARY,SEA,SEA vs. WAS,8/18/22,W,8,2,1,1,100,0,0,0,0,0,0,0,0,0,3,0,0,1,0,-3
SHATORI WALKER-KIMBROUGH,WAS,WAS @ SEA,8/18/22,L,20,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,0,0,1,2,-3
STEPHANIE TALBOT,SEA,SEA vs. WAS,8/18/22,W,7,4,1,2,50,1,2,50,1,2,50,0,1,1,1,0,0,0,2,-2
ALYSHA CLARK,WAS,WAS @ SEA,8/18/22,L,26,2,1,2,50,0,1,0,0,0,0,0,3,3,2,3,1,1,3,-2
EZI MAGBEGOR,SEA,SEA vs. WAS,8/18/22,W,16,8,4,5,80,0,0,0,0,1,0,0,1,1,1,1,2,0,2,3
A'JA WILSON,LVA,LVA vs. PHO,8/17/22,W,33,8,2,11,18.2,0,1,0,4,4,100,1,11,12,3,0,3,2,2,19
DIAMOND DESHIELDS,PHO,PHO @ LVA,8/17/22,L,32,18,7,22,31.8,1,2,50,3,3,100,0,8,8,2,0,0,1,2,-15
JACKIE YOUNG,LVA,LVA vs. PHO,8/17/22,W,35,16,6,13,46.2,2,4,50,2,2,100,0,5,5,2,1,0,2,4,19
SOPHIE CUNNINGHAM,PHO,PHO @ LVA,8/17/22,L,37,12,4,7,57.1,2,4,50,2,6,33.3,1,3,4,2,1,0,3,5,-15
BRIANNA TURNER,PHO,PHO @ LVA,8/17/22,L,34,2,1,6,16.7,0,0,0,0,0,0,6,10,16,2,0,1,1,3,-17
SHEY PEDDY,PHO,PHO @ LVA,8/17/22,L,26,8,3,13,23.1,2,7,28.6,0,0,0,1,1,2,5,2,0,1,0,-3
MEGAN GUSTAFSON,PHO,PHO @ LVA,8/17/22,L,21,12,4,7,57.1,0,2,0,4,4,100,1,3,4,1,0,1,1,4,1
KAELA DAVIS,PHO,PHO @ LVA,8/17/22,L,17,9,3,10,30,0,0,0,3,4,75,0,1,1,0,0,0,1,1,-8
ILIANA RUPERT,LVA,LVA vs. PHO,8/17/22,W,15,6,2,7,28.6,2,6,33.3,0,0,0,1,0,1,0,0,0,1,3,0
RIQUNA WILLIAMS,LVA,LVA vs. PHO,8/17/22,W,16,2,1,4,25,0,3,0,0,0,0,0,1,1,1,1,1,0,0,-2
JENNIE SIMMS,PHO,PHO @ LVA,8/17/22,L,16,2,1,6,16.7,0,3,0,0,0,0,0,1,1,1,0,0,1,2,-12
YVONNE TURNER,PHO,PHO @ LVA,8/17/22,L,13,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,-9
KIERSTAN BELL,LVA,LVA vs. PHO,8/17/22,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
RESHANDA GRAY,PHO,PHO @ LVA,8/17/22,L,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1
SYDNEY COLSON,LVA,LVA vs. PHO,8/17/22,W,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
SAM THOMAS,PHO,PHO @ LVA,8/17/22,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
THERESA PLAISANCE,LVA,LVA vs. PHO,8/17/22,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AISHA SHEPPARD,LVA,LVA vs. PHO,8/17/22,W,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
